District Number,District,"Students Chronically Absent in District, Total"," Students Chronically Absent, Elementary 
Level
(Grades K-3), Percent"," Students Chronically Absent, Middle 
Grades (Grades 4-8), Percent"," Students Chronically Absent, Secondary 
School
(Grades 9-12), Percent"," Students Chronically Absent, American Indian or Alaska Native, Percent"," Students Chronically Absent, Asian, Percent"," Students Chronically Absent, Black or African American, Percent"," Students Chronically Absent, Hispanic
Latino of any race, Percent"," Students Chronically Absent, Native Hawaiian or Other Pacific Islander, Percent"," Students Chronically Absent, Two or More Races, Percent"," Students Chronically Absent, White, Percent",Enrollment,,
1,Andover School District ,0.7,*,*,,,,,,,,*,,,
2,Ansonia School District ,12.3,13.4,11.8,11.8,*,*,16.5,14.4,,*,9.6,2421,,
3,Ashford School District ,9.1,*,9.3,,,,*,*,,*,8.8,430,,
4,Avon School District ,4.3,4.7,5.2,2.9,,*,*,*,,*,4.0,3457,,
5,Barkhamsted School District ,3.2,*,*,,,,,,,,*,344,,
7,Berlin School District ,5.8,2.5,6.3,7.8,,*,*,10.4,,*,5.0,2967,,
8,Bethany School District ,3.2,*,*,,,,,*,,,*,476,,
9,Bethel School District ,6.1,4.2,5.9,7.7,,*,*,7.0,,*,5.6,2873,,
11,Bloomfield School District ,7.4,6.3,5.9,9.7,,*,6.8,13.6,,*,*,1915,,
12,Bolton School District ,2.6,*,*,*,,*,*,,,,*,874,,
13,Bozrah School District ,5.3,*,*,,,*,*,*,,,*,206,,
14,Branford School District,7.4,4.9,6.8,10.1,,*,*,*,,*,7.5,3205,,
15,Bridgeport School District ,19.9,16.2,15.9,32.7,23.5,9.5,18.6,22.1,*,*,15.9,19273,,
17,Bristol School District ,11.5,9.6,8.5,16.7,*,*,15.8,20.9,,11.1,8.8,8062,,
18,Brookfield School District ,4.8,3.6,3.9,6.7,,*,*,*,,,4.4,2785,,
19,Brooklyn School District ,6.8,*,8.2,,,*,*,*,,*,6.3,804,,
21,Canaan School District ,10.7,*,*,,,,,,,,*,84,,
22,Canterbury School District ,3.7,*,*,,,,,*,,*,*,481,,
23,Canton School District ,4.5,4.7,4.2,4.7,,*,*,*,,,3.4,1714,,
24,Chaplin School District ,9.6,*,*,,,*,,*,,*,*,157,,
25,Cheshire School District ,5.4,4.1,3.9,8.3,,*,*,*,,,5.5,4727,,
26,Chester School District ,5.8,*,*,,,,,*,,,*,260,,
27,Clinton School District ,10.5,6.4,6.0,21.4,*,*,*,16.8,,*,10.0,1959,,
28,Colchester School District ,2.4,*,3.7,*,*,,*,*,,*,2.3,2909,,
29,Colebrook School District ,1.0,,*,,,,,,,,*,102,,
30,Columbia School District ,6.9,*,*,,,,,*,,,7.0,508,,
31,Cornwall School District ,5.7,*,*,,,,,*,,,*,106,,
32,Coventry School District ,6.2,5.0,4.0,10.3,,,*,*,,*,6.0,1749,,
33,Cromwell School District,6.2,5.0,5.9,7.8,,*,*,13.7,,*,5.2,1959,,
34,Danbury School District ,12.5,6.3,7.8,26.3,,8.2,17.5,14.4,,14.2,10.6,10312,,
35,Darien School District ,4.1,2.9,3.5,6.2,*,*,,*,,*,3.9,4729,,
36,Deep River School District,5.3,*,*,,,,,*,*,,*,356,,
37,Derby School District ,12.9,9.9,12.0,18.6,*,*,22.2,11.2,,*,11.5,1425,,
39,Eastford School District ,5.7,*,*,,,,,*,,,*,157,,
40,East Granby School District ,5.1,*,*,9.4,*,*,*,*,,*,4.5,840,,
41,East Haddam School District ,7.7,6.5,5.8,11.1,,,*,*,,,7.9,1248,,
42,East Hampton School District ,5.9,5.2,5.2,7.7,,*,*,*,,*,6.0,1911,,
43,East Hartford School District ,9.9,6.7,6.2,17.5,*,*,7.6,12.5,,*,9.7,6845,,
44,East Haven School District ,17.3,11.1,12.4,30.6,,*,26.4,15.7,,*,17.7,3160,,
45,East Lyme School District ,6.0,4.4,4.4,8.3,*,*,*,*,,*,6.3,2928,,
46,Easton School District ,4.1,5.0,3.5,,,*,*,*,,*,3.8,1025,,
47,East Windsor School District ,11.5,11.7,8.9,14.6,*,*,14.1,13.7,,*,10.6,1223,,
48,Ellington School District ,4.4,3.7,4.8,4.5,,*,*,*,,*,3.4,2658,,
49,Enfield School District ,11.6,8.8,11.4,14.3,*,*,13.9,14.0,,8.7,11.4,5451,,
50,Essex School District ,2.9,*,*,,,,,,,,*,521,,
51,Fairfield School District ,5.2,2.8,5.4,7.4,*,4.8,10.8,7.6,*,*,4.7,10142,,
52,Farmington School District,5.5,3.5,4.9,8.0,*,*,10.3,11.6,,,5.2,4022,,
53,Franklin School District ,2.8,*,*,,,,,,,,*,181,,
54,Glastonbury School District ,3.4,3.2,2.8,4.3,,*,*,6.5,,*,3.1,6618,,
56,Granby School District ,4.6,5.4,4.5,4.1,,*,*,*,,*,3.8,2144,,
57,Greenwich School District ,5.6,4.7,5.8,6.4,,3.0,11.0,8.2,,*,5.1,8635,,
58,Griswold School District ,11.3,5.8,10.3,16.9,*,*,*,*,*,*,11.0,1874,,
59,Groton School District ,13.4,9.9,8.9,24.6,*,9.0,19.0,17.1,,14.8,11.6,4629,,
60,Guilford School District ,6.2,3.0,5.7,9.7,,*,*,*,,*,6.4,3604,,
62,Hamden School District ,13.0,9.0,11.0,19.2,*,11.3,15.3,15.2,,*,11.2,5723,,
63,Hampton School District ,5.8,*,*,,,,,,,,*,103,,
64,Hartford School District ,26.5,23.5,20.1,40.4,*,12.1,22.2,33.3,*,23.9,10.3,19713,,
65,Hartland School District,2.9,*,*,,,,*,,,,*,210,,
67,Hebron School District ,3.7,4.9,*,,,,,*,,*,3.6,1001,,
68,Kent School District ,6.8,*,*,,,,,,,*,*,265,,
69,Killingly School District ,14.2,6.5,11.7,24.6,*,*,*,18.2,,12.5,14.0,2535,,
71,Lebanon School District ,9.9,*,4.9,18.8,*,*,,*,,,9.9,1219,,
72,Ledyard School District,8.1,*,5.0,15.4,15.3,*,*,*,,*,7.8,2513,,
73,Lisbon School District ,5.9,*,*,*,*,,*,,,*,5.3,441,,
74,Litchfield School District ,6.5,*,5.1,10.7,,*,*,*,,*,6.6,1088,,
76,Madison School District ,4.0,2.7,3.3,5.5,,,*,*,,*,4.1,3419,,
77,Manchester School District ,21.2,10.4,9.6,47.8,*,17.4,22.3,26.0,,8.3,20.1,5996,,
78,Mansfield School District ,5.0,4.8,5.2,,,*,*,*,,*,4.6,1238,,
79,Marlborough School District ,4.1,*,*,,,*,,*,,,4.3,652,,
80,Meriden School District,12.1,12.6,11.3,12.6,*,*,12.0,15.6,*,*,7.8,7832,,
83,Middletown School District ,11.3,6.1,9.1,21.4,,*,13.3,17.9,,*,9.0,4834,,
84,Milford School District ,10.3,4.9,7.0,20.1,*,6.4,13.9,14.1,*,,10.2,6577,,
85,Monroe School District ,6.2,2.7,6.3,8.6,,*,*,*,,*,6.3,3539,,
86,Montville School District ,8.1,7.0,5.7,12.4,*,*,*,*,,13.5,7.7,2487,,
88,Naugatuck School District ,12.7,9.0,9.9,20.0,,*,14.7,14.5,*,17.3,11.9,4375,,
89,New Britain School District ,26.8,22.0,19.8,44.4,*,14.5,19.9,31.4,,20.4,21.0,9588,,
90,New Canaan School District ,9.0,2.8,4.1,20.9,*,*,*,*,*,*,9.1,4135,,
91,New Fairfield School District ,7.9,5.5,6.5,11.1,,*,*,*,,*,8.0,2795,,
92,New Hartford School District ,4.8,*,*,,,*,,*,,*,4.6,579,,
93,New Haven School District ,20.3,15.5,14.4,34.3,,7.2,20.8,22.5,,*,15.0,18617,,
94,Newington School District ,4.6,3.4,4.6,5.5,,*,8.8,7.2,,*,3.8,4268,,
95,New London School District ,26.0,27.7,23.1,27.6,*,*,22.7,27.3,*,26.2,28.0,2886,,
96,New Milford School District ,10.5,7.8,6.9,17.0,,*,*,12.1,,*,10.6,4578,,
97,Newtown School District ,2.7,2.8,3.3,1.7,,*,*,*,,*,2.6,5166,,
98,Norfolk School District ,10.7,*,*,,,,,,,,*,112,,
99,North Branford School District,15.0,3.6,3.9,41.0,*,*,*,*,,,14.7,2133,,
100,North Canaan School District ,12.8,*,15.3,,,*,,*,,*,12.9,289,,
101,North Haven School District ,7.2,3.5,5.3,12.5,*,*,*,10.6,,*,7.6,3517,,
102,North Stonington School District ,9.4,*,8.6,16.7,*,*,*,*,,*,9.1,733,,
103,Norwalk School District ,11.6,5.8,10.3,19.6,*,8.9,15.0,12.2,,*,9.4,10801,,
104,Norwich School District ,14.4,13.9,11.4,73.4,*,*,11.1,19.8,*,15.6,13.5,3577,,
106,Old Saybrook School District ,15.7,*,5.5,34.8,,*,*,*,,*,16.6,1491,,
107,Orange School District ,4.0,4.4,3.5,,,*,,*,,*,3.7,1250,,
108,Oxford School District ,6.0,*,5.8,9.8,*,*,*,*,,,6.0,2117,,
