TOWN,YEAR,DCHG ENDSNT,RELS HH,RELS PAR,RELS PARCOM,RELS REFURL,RELS SP,RELS TPLCMT,RELS TRNPART,RELS TS
ANDOVER,2009,3,0,0,0,0,0,0,0,2
AVON,2009,6,1,1,0,1,0,0,0,3
BLOOMFIELD,2009,33,6,12,1,0,8,0,0,14
BOLTON,2009,6,0,0,0,0,0,0,0,3
CANTON,2009,3,0,0,0,0,0,0,0,4
EAST GRANBY,2009,2,2,1,0,0,0,0,0,2
EAST HARTFORD,2009,161,32,26,2,2,14,1,0,47
EAST WINDSOR,2009,9,3,0,0,1,0,0,0,2
ELLINGTON,2009,11,1,0,0,1,0,0,0,7
ENFIELD,2009,62,11,11,0,1,7,0,0,17
FARMINGTON,2009,5,2,1,0,0,0,0,0,2
GLASTONBURY,2009,15,5,3,0,1,0,0,1,9
GRANBY,2009,6,1,1,0,0,0,0,0,1
HARTFORD,2009,884,281,162,6,6,120,1,4,297
HEBRON,2009,2,1,1,0,0,0,0,0,2
MANCHESTER,2009,120,31,17,0,1,6,0,1,43
MARLBOROUGH,2009,5,0,0,0,0,0,0,0,1
NEWINGTON,2009,35,6,2,0,1,1,0,0,7
ROCKY HILL,2009,11,2,0,0,0,0,0,0,4
SIMSBURY,2009,5,0,0,0,1,0,0,0,2
SOMERS,2009,4,1,0,0,0,0,0,0,6
SOUTH WINDSOR,2009,19,6,4,0,2,0,0,0,4
SUFFIELD,2009,5,0,0,0,0,0,0,0,0
TOLLAND,2009,10,0,0,0,0,0,0,0,3
VERNON,2009,45,15,3,0,0,3,0,0,15
WEST HARTFORD,2009,34,7,7,0,2,4,0,0,17
WETHERSFIELD,2009,20,4,2,0,0,0,0,0,15
WINDSOR,2009,37,10,11,1,0,4,0,0,11
WINDSOR LOCKS,2009,16,3,5,0,0,1,0,0,4
ANDOVER,2011,3,0,0,0,0,0,0,0,1
AVON,2011,6,0,0,0,0,0,0,0,3
BLOOMFIELD,2011,43,9,6,1,0,5,0,0,12
BOLTON,2011,1,0,0,0,1,0,0,0,0
CANTON,2011,5,1,1,0,0,0,0,0,0
EAST GRANBY,2011,2,0,0,0,0,0,0,0,0
EAST HARTFORD,2011,180,27,20,0,2,21,0,0,46
EAST WINDSOR,2011,10,1,3,0,0,0,0,0,4
ELLINGTON,2011,12,5,3,0,0,0,0,0,12
ENFIELD,2011,72,7,10,0,0,5,0,0,18
FARMINGTON,2011,6,4,2,0,0,0,0,0,3
GLASTONBURY,2011,16,1,4,0,0,0,0,0,5
GRANBY,2011,1,0,0,0,0,0,0,0,1
HARTFORD,2011,857,261,125,6,7,141,0,0,188
HEBRON,2011,4,1,0,0,0,0,0,0,1
MANCHESTER,2011,135,28,15,0,0,11,0,0,48
MARLBOROUGH,2011,4,0,0,0,0,0,0,0,3
NEWINGTON,2011,33,6,2,0,0,2,0,0,8
ROCKY HILL,2011,5,3,0,0,0,0,0,0,5
SIMSBURY,2011,6,0,0,0,0,0,0,0,1
SOMERS,2011,5,1,0,0,0,0,0,0,7
SOUTH WINDSOR,2011,26,1,0,0,0,3,0,0,9
SUFFIELD,2011,5,1,0,0,0,0,0,0,1
TOLLAND,2011,14,1,1,0,0,1,0,0,4
VERNON,2011,30,11,3,0,0,4,0,0,30
WEST HARTFORD,2011,33,9,7,0,1,4,0,0,12
WETHERSFIELD,2011,22,6,3,0,0,0,0,0,14
WINDSOR,2011,33,11,7,0,0,6,0,0,8
WINDSOR LOCKS,2011,13,4,0,0,0,1,0,0,6
ANDOVER,2010,4,0,0,0,1,0,0,0,1
AVON,2010,6,2,1,0,0,0,0,0,3
BLOOMFIELD,2010,41,10,11,0,0,8,0,0,12
BOLTON,2010,5,1,0,0,1,0,0,0,2
CANTON,2010,5,0,1,0,0,0,0,0,1
EAST GRANBY,2010,0,0,0,0,0,0,0,0,0
EAST HARTFORD,2010,134,25,14,0,0,16,0,0,30
EAST WINDSOR,2010,7,0,0,0,1,0,0,0,5
ELLINGTON,2010,15,3,1,0,4,0,0,0,5
ENFIELD,2010,47,11,5,0,1,4,0,0,22
FARMINGTON,2010,9,1,0,0,1,0,0,0,4
GLASTONBURY,2010,12,0,3,1,0,0,0,0,6
GRANBY,2010,11,1,0,0,0,0,0,0,1
HARTFORD,2010,806,300,144,9,23,120,0,2,250
HEBRON,2010,3,1,0,0,0,0,0,0,2
MANCHESTER,2010,110,30,21,2,2,8,0,0,41
MARLBOROUGH,2010,3,1,1,0,0,1,0,0,4
NEWINGTON,2010,26,0,4,0,0,3,0,0,7
ROCKY HILL,2010,10,1,0,0,0,0,0,0,2
SIMSBURY,2010,6,2,1,0,0,0,0,0,0
SOMERS,2010,3,1,0,0,0,0,0,0,0
SOUTH WINDSOR,2010,14,2,2,1,1,0,0,0,9
SUFFIELD,2010,6,1,0,0,0,0,0,0,2
TOLLAND,2010,13,3,4,0,0,0,0,0,6
VERNON,2010,46,11,4,0,4,3,0,0,16
WEST HARTFORD,2010,40,10,6,0,1,2,0,0,13
WETHERSFIELD,2010,17,0,4,0,0,1,0,0,10
WINDSOR,2010,40,6,3,0,1,3,0,1,15
WINDSOR LOCKS,2010,16,2,3,0,0,1,0,0,5
