Subgroup,District Code,District Name,Statu,CHRONIC COUNTS,CHRONIC PERCENT
Gender,1,Andover School District,Female, - ,*
Gender,1,Andover School District,Male, - ,*
Gender,2,Ansonia School District,Female,186,15.07293355
Gender,2,Ansonia School District,Male,226,17.34458941
Gender,3,Ashford School District,Female,20,8.368200837
Gender,3,Ashford School District,Male, - ,*
Gender,4,Avon School District,Female,69,3.956422018
Gender,4,Avon School District,Male,60,3.393665158
Gender,5,Barkhamsted School District,Female, - ,*
Gender,5,Barkhamsted School District,Male, - ,*
Gender,7,Berlin School District,Female,93,6.485355649
Gender,7,Berlin School District,Male,66,4.174573055
Gender,8,Bethany School District,Female, - ,*
Gender,8,Bethany School District,Male, - ,*
Gender,9,Bethel School District,Female,144,10.01390821
Gender,9,Bethel School District,Male,156,9.974424552
Gender,11,Bloomfield School District,Female,95,9.214354995
Gender,11,Bloomfield School District,Male,87,7.916287534
Gender,12,Bolton School District,Female, - ,*
Gender,12,Bolton School District,Male, - ,*
Gender,13,Bozrah School District,Female, - ,*
Gender,13,Bozrah School District,Male, - ,*
Gender,14,Branford School District,Female,121,7.39608802
Gender,14,Branford School District,Male,120,7.228915663
Gender,15,Bridgeport School District,Female,1929,19.71787795
Gender,15,Bridgeport School District,Male,2253,21.70311145
Gender,17,Bristol School District,Female,428,10.61771273
Gender,17,Bristol School District,Male,552,12.68673868
Gender,18,Brookfield School District,Female,67,4.67877095
Gender,18,Brookfield School District,Male,68,4.846756949
Gender,19,Brooklyn School District,Female,34,7.727272727
Gender,19,Brooklyn School District,Male,52,10.76604555
Gender,21,Canaan School District,Female, - ,*
Gender,21,Canaan School District,Male, - ,*
Gender,22,Canterbury School District,Female, - ,*
Gender,22,Canterbury School District,Male, - ,*
Gender,23,Canton School District,Female,45,5.102040816
Gender,23,Canton School District,Male,34,3.926096998
Gender,24,Chaplin School District,Female, - ,*
Gender,24,Chaplin School District,Male, - ,*
Gender,25,Cheshire School District,Female,139,5.837883242
Gender,25,Cheshire School District,Male,159,6.52173913
Gender,26,Chester School District,Female, - ,*
Gender,26,Chester School District,Male, - ,*
Gender,27,Clinton School District,Female,100,10.28806584
Gender,27,Clinton School District,Male,106,10.23166023
Gender,28,Colchester School District,Female,41,2.733333333
Gender,28,Colchester School District,Male,40,2.666666667
Gender,29,Colebrook School District,Female, - ,*
Gender,29,Colebrook School District,Male, - ,*
Gender,30,Columbia School District,Female, - ,*
Gender,30,Columbia School District,Male, - ,*
Gender,31,Cornwall School District,Female, - ,*
Gender,31,Cornwall School District,Male, - ,*
Gender,32,Coventry School District,Female,68,7.513812155
Gender,32,Coventry School District,Male,73,8.314350797
Gender,33,Cromwell School District,Female,57,6.019007392
Gender,33,Cromwell School District,Male,65,6.21414914
